n,p,total_logical_error_rate,x_logical_error_rate,z_logical_error_rate
30,0.011288378916846888,0.0056,0.0016,0.0055
30,0.01438449888287663,0.0074,0.0028,0.0072
30,0.018329807108324356,0.0168,0.0048,0.0168
30,0.023357214690901212,0.0227,0.0056,0.0222
30,0.029763514416313176,0.0329,0.0089,0.0316
30,0.0379269019073225,0.0519,0.0148,0.0482
30,0.04832930238571752,0.1007,0.038,0.0894
30,0.06158482110660261,0.1196,0.0348,0.1069
30,0.07847599703514611,0.1675,0.0441,0.1508
30,0.1,0.2239,0.0603,0.2021
