n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,mean_objective_value,average_cpu_time_seconds
23,0.0088586679041008,100000,0.00066,0.0001495204223194,0.000179606379174,0.00062,0.0001446175457147,0.0001747425410992,0.00013,6.077871750037981e-05,9.229369942010546e-05,0.125313250893762,0.0002303874588012
23,0.0112883789168468,100000,0.0013,0.0002137426612466,0.0002434563404731,0.00124,0.0002085296841189,0.0002382668394513,0.00018,7.331721446439926e-05,0.0001044627417977,0.2410810751854758,0.0002765347337722
23,0.0143844988828766,100000,0.00235,0.0002905867026604,0.0003200241007083,0.00227,0.0002854420577492,0.0003148950648131,0.00033,0.0001028326380609,0.0001334117701228,0.4503858616203164,0.0003509902596473
23,0.0183298071083243,100000,0.00435,0.0003984606948216,0.0004276150334642,0.00415,0.0003890059882592,0.0004181830006749,0.00058,0.0001395531426144,0.0001697208412884,0.8657807033366969,0.0004758450150489
23,0.0233572146909012,100000,0.00878,0.0005689203557212,0.0005976795204418,0.00817,0.0005486253295246,0.0005774319613689,0.00141,0.0002229949999247,0.0002526689740949,1.7119927043082228,0.0006829747509956
23,0.0297635144163131,100000,0.01686,0.000788930208181,0.000817128673294,0.01592,0.0007667090929646,0.0007949690395708,0.00263,0.0003079313265075,0.0003373180843362,3.273191952514777,0.0010996494936943
23,0.0379269019073225,100000,0.03099,0.0010654261843131,0.001092742274292,0.02899,0.0010312033924778,0.0010586414716124,0.00501,0.0004281909541304,0.000457275267315,6.111014270271702,0.0017405483937263
23,0.0483293023857175,100000,0.05393,0.0013920368332308,0.0014179798787036,0.04998,0.0013424882392069,0.0013686655145948,0.00962,0.0005957175562474,0.0006244132658447,10.983987886918792,0.0028614950203895
23,0.0615848211066026,100000,0.09015,0.0017681670633678,0.0017919799066652,0.08286,0.0017014766324279,0.0017257165358456,0.01772,0.0008086963028695,0.0008368390086567,18.42552269655369,0.0044322531199455
23,0.0784759970351461,100000,0.14351,0.0021675918459544,0.0021882903145219,0.12954,0.002075485809269,0.0020969982799369,0.03185,0.0010797688965578,0.0011070327071961,30.137566645679883,0.0068928635716438
